global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
2490,2024-02-19,40,51774.73,56611.80237590696,56604.30086513857,56619.30388667535,2.650157901202173,-0.0030411778920875292,0.5,0.2413229110205156,0.05076159085748109,0.169865576571355,greed,20.082219987457673,201,6
2491,2024-02-19,41,51774.73,56614.90829917959,56604.30086513857,56625.515733220614,3.7472228993001617,-0.0012838267263287533,0.5,0.22516701026951433,0.051100370484105824,0.15861637713382085,greed,20.49541752776686,206,5
2492,2024-02-19,42,51774.73,56613.153577142235,56600.79142106385,56625.515733220614,4.367238105377118,-0.0010961593150957173,0.5,0.4998564626532954,0.04658154833780064,0.15284612138025538,greed,21.358978562678256,214,8
2493,2024-02-19,43,51774.73,56616.072618218095,56600.55092350225,56631.59431293395,5.483140740093251,-0.0026174295989386653,0.5,0.46237412401927624,0.04535689841117828,0.17553773546098822,greed,21.812517958813963,221,7
2494,2024-02-19,44,51774.73,56616.072618218095,56600.55092350225,56631.59431293395,5.483140740093251,-0.002552100796000121,0.5,0.4514794207494378,0.0596181311658026,0.16658491068277198,greed,21.812517958813963,221,0
2495,2024-02-19,45,51774.73,56616.14809830449,56600.55092350225,56631.74527310674,5.509797231406075,-0.0015094540426751867,0.5,0.4163794367920092,0.052077559792481756,0.15435949369009877,greed,22.422855794478856,228,7
2496,2024-02-19,46,51774.73,56616.09747102497,56600.44966894321,56631.74527310674,5.527686569979967,-0.0015243613924358242,0.5,0.4079979346932647,0.055664429141045975,0.15435332206444816,greed,22.79459390807669,234,6
2497,2024-02-19,47,51774.73,56615.45269873164,56600.44966894321,56630.45572852007,5.299976975637844,-0.0008806624772478717,0.5,0.39911094402202046,0.04787888529381169,0.16833952161159244,greed,22.968823027749647,236,2
2498,2024-02-19,48,51774.73,56615.13884746772,56599.82196641538,56630.45572852007,5.4108782082518205,0.0006282737525404369,0.5,0.662320599770162,0.0490215214364972,0.1504609875220417,greed,23.425751005632797,240,4
2499,2024-02-19,49,51774.73,56615.78361976106,56599.82196641538,56631.74527310674,5.638587801903355,5.846025152691368e-05,0.5,0.608792918318974,0.052123870748482806,0.16673294277294184,greed,23.939514316109243,247,7
2500,2024-02-20,0,52258.82,55959.031401485176,55932.434587586395,55985.62821538395,9.505816391979735,0.026298190112346475,0.44,0.3985798635317872,0.043653032374875445,0.17251571942090246,greed,0.5956259296553164,6,6
2501,2024-02-20,1,52258.82,55964.87751945028,55944.82233295203,55984.93270594854,7.167061695536328,0.03322771125592772,0.44,0.3892178634481442,0.05419790866762907,0.1514359679671832,greed,0.7752954295523684,10,4
2502,2024-02-20,2,52258.82,55967.506823329386,55950.080940710235,55984.93270594854,6.227142714846475,0.024569445482363353,0.44,0.4049183790524414,0.05590574089594445,0.16892339199314796,greed,1.3815826034374936,15,5
2503,2024-02-20,3,52258.82,55972.520341501295,55959.41246761865,55985.62821538395,4.683681850549777,0.023584720645338224,0.44,0.37176648276494995,0.047070977084086744,0.16447354411143353,greed,1.5776577768591993,21,6
2504,2024-02-20,4,52258.82,55978.40527817072,55971.18234095749,55985.62821538395,2.5806155703561995,0.01497243115984921,0.44,0.34282709324542315,0.04867393866213919,0.15606819545226092,greed,1.7106142887993436,22,1
2505,2024-02-20,5,52258.82,55978.40527817072,55971.18234095749,55985.62821538395,2.5806155703561995,0.016412669150465284,0.44,0.37919711040131593,0.04011607537685882,0.15902873146676016,greed,1.9674001286540703,24,2
2506,2024-02-20,6,52258.82,55987.71377257361,55973.77054214682,56001.65700300041,4.980817928530663,0.014161608189381758,0.44,0.3788611509012004,0.059180879937428155,0.1650720838044038,greed,2.574039667229802,30,6
2507,2024-02-20,7,52258.82,55991.63474959928,55981.61249619815,56001.65700300041,3.579910979899271,0.00957087893048603,0.44,0.37616185571246263,0.05413530563723262,0.17167300269067237,greed,3.1072014663762806,34,4
2508,2024-02-20,8,52258.82,55993.31665825023,55981.61249619815,56005.02082030232,4.180556805920954,0.017146343104581595,0.44,0.3835262314011822,0.05638667504597722,0.15392094761244937,greed,3.3878555922825413,38,4
2509,2024-02-20,9,52258.82,55995.292726902386,55985.56463350245,56005.02082030232,3.474611141826103,0.015089116890022364,0.44,0.35470242715508116,0.04681753079167873,0.1622546216664682,greed,3.5370261889296186,40,2
2510,2024-02-20,10,52258.82,55995.292726902386,55985.56463350245,56005.02082030232,3.474611141826103,0.01506100956971273,0.44,0.36570666528966744,0.04702434039276976,0.17511719998546377,greed,3.6797005665774947,42,2
2511,2024-02-20,11,52258.82,55996.54284069268,55985.56463350245,56007.52104788291,3.921030346984979,0.01866737981530964,0.44,0.3370910079134378,0.05884687015342715,0.17958950526816037,greed,4.244337753335383,49,7
2512,2024-02-20,12,52258.82,55996.54284069268,55985.56463350245,56007.52104788291,3.921030346984979,0.017532698716580163,0.44,0.3202488163880481,0.05552782737305452,0.167877804363502,greed,4.712102529142236,53,4
2513,2024-02-20,13,52258.82,55995.85576628843,55984.190484693936,56007.52104788291,4.166480334964396,0.016718830118207257,0.44,0.300105875941396,0.05515019645637012,0.15353936998311077,greed,4.8000386490688225,56,3
2514,2024-02-20,14,52258.82,55996.279663265785,55984.833916059855,56007.72541047171,4.088038446394956,0.012960925988216614,0.44,0.302482214939199,0.057794706695661134,0.1710091906165142,greed,5.669776143750148,64,8
2515,2024-02-20,15,52258.82,55996.876411550395,55984.833916059855,56008.918907040934,4.301131156685485,0.019593557212161064,0.44,0.31106613752044693,0.048594907621513334,0.164821286008072,greed,6.344825911474806,71,7
2516,2024-02-20,16,52258.82,55999.95704614812,55990.9951852553,56008.918907040934,3.200667059595207,0.016737869828112543,0.44,0.3097650933095932,0.04051264499768845,0.17774242427593084,greed,7.026783211437725,78,7
2517,2024-02-20,17,52258.82,56006.8197254814,56004.720543921874,56008.918907040934,0.749616410936742,0.01283004398748365,0.44,0.28610638295385904,0.05048515855807671,0.15686827008418336,greed,7.201452019230707,79,1
2518,2024-02-20,18,52258.82,56008.411362073246,56004.720543921874,56012.10218022462,1.3179513796640436,0.013236921469377941,0.44,0.27316159577298776,0.05013382402012598,0.17899227888370287,greed,7.356741026713621,82,3
2519,2024-02-20,19,52258.82,56008.64493246937,56005.18768471412,56012.10218022462,1.234540760419611,0.015602539981464884,0.44,0.2503010364779511,0.05779862111780196,0.16952636512487332,greed,7.541755153890012,84,2
