date,spread_mean,spread_median,spread_std,n_obs
2025-12-27,1.4011104998089388,1.074683912760492,1.5131203033838838,512
2025-12-28,1.8595680595847892,1.505209714887155,1.9319282876524007,375
2025-12-29,7.564359421182048,5.518340007613979,5.120603802426586,70
2025-12-30,4.119306489586056,3.3809241156520637,2.791207207021176,172
2025-12-31,4.3837578170557325,3.7937229077966608,2.951901603789508,153
2026-01-01,2.349750896980804,1.943872401948543,1.985681300895276,260
2026-01-02,4.1297823258200355,3.692156329370292,2.508193790605397,140
2026-01-03,2.7435602001439965,2.4729103374846044,1.9940448464366676,269
2026-01-04,17.115173844476896,16.0865644383312,17.4016864148718,16
2026-01-05,13.089411314660872,10.098557333801386,11.355847417632276,23
2026-01-06,5.3726055771527275,4.981226079623682,2.399118527511048,99
2026-01-07,6.762758712707973,6.208942650053849,3.647714926220797,76
2026-01-08,4.958291259221077,4.335441549390772,3.2978809621387724,130
2026-01-09,4.828623810599821,3.209736118206123,5.476417883134989,118
2026-01-10,1.6822822093566472,1.4415733382247855,1.464940787228061,382
