date,regime,raw_uncertainty,uncertainty_full,uncertainty_expanding,uncertainty_rolling
2024-03-15,extreme_greed,0.23981533595317028,0.8011617638276557,0.9883660454292795,0.9883660454292795
2024-03-16,extreme_greed,0.24453948557856175,0.8263428384835849,1.0285781755809869,1.0
2024-03-17,extreme_greed,0.24366980862926269,0.8217072105032316,0.9928029571353251,0.9928029571353251
2024-03-18,extreme_greed,0.2399374208821503,0.8018125115716489,0.96191544812959,0.96191544812959
2024-03-19,extreme_greed,0.23019254278505902,0.7498695118078657,0.8812713590430348,0.8812713590430348
2024-03-20,greed,0.23448108720953004,0.7727286856023293,0.9167613626298339,0.9167613626298339
2024-03-21,extreme_greed,0.22475319657076748,0.7208762338715913,0.8362578538654918,0.8362578538654918
2024-03-22,greed,0.21403581481284356,0.6637495102149473,0.747565775765652,0.747565775765652
2024-03-23,greed,0.20768455529059499,0.6298954723730213,0.6950056992186782,0.6950056992186782
2024-03-24,greed,0.20647229703594025,0.6234337876184455,0.6849736124434246,0.6849736124434246
2024-03-25,greed,0.1884943686891345,0.5276062648349458,0.5361966199816861,0.5361966199816861
2024-03-26,extreme_greed,0.18766970656473747,0.5232105788031686,0.5293720989190746,0.5293720989190746
2024-03-27,extreme_greed,0.1865713110282639,0.5173558150469533,0.5202822871622617,0.5202822871622617
2024-03-28,extreme_greed,0.18939256656153902,0.5323939175289354,0.5436296887710398,0.5436296887710398
2024-03-29,extreme_greed,0.1852370353385917,0.5102437423105942,0.5092404407161715,0.5092404407161715
2024-03-30,greed,0.18999368248852608,0.5355980381082184,0.548604245238992,0.548604245238992
2024-03-31,greed,0.1948473685588417,0.5614695792287927,0.5887710988366309,0.5887710988366309
2024-04-01,extreme_greed,0.19622480534992115,0.5688117130349635,0.6001701265293495,0.6001701265293495
